rank,name,location,lat,lon,borough,postcode,postcode_district,type,gcse_pct_7_9,gcse_rank,alevel_pct_a_star,alevel_pct_a_star_a,alevel_pct_a_star_b,alevel_rank,gender,neighbourhood_composite_score,neighbourhood_avg_gcse,neighbourhood_school_count,property_count,avg_price,min_price,max_price
2,West London Free School,London,51.4927928,-0.2379492,London Borough of Hammersmith and Fulham,W6 9LP,W6,Partially selective (9%),87.4,17,,,61.1,,Boys Girls,106.6,76.6,3,18,1815000,950000,3000000
3,JFS,Harrow,51.5816691,-0.281682,London Borough of Brent,HA3 9TE,HA3,Comprehensive,87.5,15=,,,58.6,,Boys Girls,97.5,87.5,1,3,800000,799999,800000
7,Camden School for Girls,London,51.5455937,-0.1344416,London Borough of Camden,NW5 2DB,NW5,Partially selective (7%),83.0,44=,,,53.0,,Girls Sixth form,93.0,83.0,1,13,1516154,1100000,2700000
8,The Charter School North Dulwich,London,51.4564238,-0.0888642,London Borough of Southwark,SE24 9JH,SE24,Comprehensive,78.0,78=,,,45.0,,Boys Girls,95.9,75.9,2,12,1616250,975000,2500000
9,The Cardinal Vaughan Memorial School,London,51.5045683,-0.2114489,Royal Borough of Kensington and Chelsea,W14 8DW,W14,Comprehensive,77.1,86,,,45.7,,Boys Sixth form,87.1,77.1,1,30,2396333,1495000,3000000
10,"Waldegrave School, Twickenham",London,51.4395559,-0.3523925,London Borough of Richmond upon Thames,TW2 5LH,TW2,Comprehensive,78.0,78=,,,42.0,,Girls Sixth form,111.8,71.8,4,16,1211809,849000,2250000
12,Twyford CofE High School,London,51.5091305,-0.2782908,London Borough of Ealing,W3 9PP,W3,Partially selective (10%),76.0,93=,,,49.0,,Boys Girls,86.0,76.0,1,39,1685614,995000,3000000
13,Hasmonean High School for Girls,London,51.6038631,-0.2337784,London Borough of Barnet,NW7 2EU,NW7,Comprehensive,73.3,122,,,47.0,,Girls,120.4,70.4,5,11,1094082,800000,1500000
16,Mossbourne Community Academy,London,51.5514482,-0.0620587,London Borough of Hackney,E5 8JY,E5,Comprehensive,77.6,84,,,51.0,,Boys Girls,92.3,72.3,2,9,1727778,950000,3000000
19,JCoss (Jewish Community Secondary School),London,51.6256002,-0.1584543,London Borough of Barnet,N20 0DG,N20,Comprehensive,78.0,78=,,,46.8,,Boys Girls,120.4,70.4,5,20,1180000,775000,2250000
20,The Grey Coat Hospital,London,51.4958987,-0.1340777,Millbank,SW1P 2DY,SW1P,Partially selective (10%),73.9,114,,,42.4,,Girls Sixth form,83.9,73.9,1,22,2447955,1100000,3000000
21,Hasmonean High School for Boys,London,51.5964699,-0.21443,London Borough of Barnet,NW4 1NA,NW4,Comprehensive,76.7,89=,,,52.0,,Boys,120.4,70.4,5,49,1332638,765000,2500000
22,Lady Margaret School,London,51.4742809,-0.199095,London Borough of Hammersmith and Fulham,SW6 4UN,SW6,Comprehensive,70.3,150=,,,40.1,,Girls,106.6,76.6,3,77,2106688,1000000,3000000
24,Ark Bolingbroke Academy,London,51.4561701,-0.168334,London Borough of Wandsworth,SW11 6BF,SW11,Comprehensive,75.3,101,,,42.6,,Boys Girls,87.8,67.8,2,42,1995357,850000,2950000
29,St Thomas the Apostle School and Sixth Form College,London,51.47469,-0.0747,London Borough of Southwark,SE15 5LD,SE15,Comprehensive,73.8,115,,,43.1,,Boys Sixth form,95.9,75.9,2,22,1528636,750000,2650000
31,The St Marylebone CofE School,London,51.5221193,-0.1520651,Marylebone,W1U 5BA,W1U,Partially selective (10%),75.0,105=,,,41.8,,Girls Sixth form,85.0,75.0,1,23,2218261,1000000,2900000
35,Alexandra Park School,London,51.6021426,-0.136145,London Borough of Haringey,N11 2AZ,N11,Comprehensive,67.0,185=,,,35.0,,Boys Girls,77.0,67.0,1,15,1411267,850000,1900000
39,Grey Court School,London,51.4381886,-0.3113117,London Borough of Richmond upon Thames,TW10 7HN,TW10,Comprehensive,69.0,159=,,,38.0,,Boys Girls,111.8,71.8,4,9,1502778,795000,2950000
40=,Christ’s School,London,51.4590931,-0.2879997,London Borough of Richmond upon Thames,TW10 6HW,TW10,Comprehensive,72.7,126=,,,45.5,,Boys Girls,111.8,71.8,4,0,,,
43,Orleans Park,London,51.4494917,-0.3203131,London Borough of Richmond upon Thames,TW1 3BB,TW1,Comprehensive,67.4,182=,,,35.1,,Boys Girls,111.8,71.8,4,14,2096429,1450000,2600000
49,The London Oratory School,London,51.4821513,-0.194136,London Borough of Hammersmith and Fulham,SW6 1RX,SW6,Comprehensive,72.0,134=,,,40.0,,Boys Sixth form,106.6,76.6,3,56,1810179,750000,3000000
56,Barking Abbey School,Barking,51.5436705,0.1034983,Barking,IG11 9AG,IG11,Comprehensive,76.9,87,,,38.6,,Boys Girls,86.9,76.9,1,7,1067143,800000,1400000
59,St Gregory’s RC Science College,Harrow,51.5833,-0.3155,London Borough of Harrow,HA3 0NR,HA3,Comprehensive,68.6,166,,,27.4,,Boys Girls,83.6,63.6,2,0,,,
62,Clapton Girls’ Academy,London,51.5540273,-0.0520476,London Borough of Hackney,E5 0RB,E5,Comprehensive,67.0,185=,,,36.0,,Girls,92.3,72.3,2,0,,,
71,"Glenthorne High School, Sutton",London,51.3799261,-0.2018502,London Borough of Sutton,SM3 9QB,SM3,Partially selective (10%),63.0,241=,,,30.0,,Boys Girls,73.0,63.0,1,1,750000,750000,750000
75,Graveney School,London,51.4238878,-0.1511743,London Borough of Wandsworth,SW17 9BU,SW17,Partially selective (25%),60.4,282=,,,32.4,,Boys Girls,87.8,67.8,2,28,1043730,750000,1750000
81,The Coopers’ Company and Coborn School,Upminster,51.5579,0.2528,London Borough of Havering,RM14 2YN,RM14,Partially selective (10%),68.0,169=,,,30.1,,Boys Girls,78.0,68.0,1,0,,,
88,Ashmole Academy,London,51.6291866,-0.1328884,London Borough of Barnet,N14 5RJ,N14,Partially selective (8%),64.0,230=,,,31.3,,Boys Girls,120.4,70.4,5,24,990623,750000,1690000
89=,Finchley RC High School,London,51.599013,-0.1975833,London Borough of Barnet,N3 1SA,N3,Comprehensive,60.0,287=,,,,,Boys Sixth form,120.4,70.4,5,28,1548375,775000,2500000
92,"Ursuline High School, Wimbledon",London,51.4164212,-0.2222241,London Borough of Merton,SW20 8HG,SW20,Comprehensive,61.0,272=,,,,,Girls,71.0,61.0,1,42,1692381,900000,3000000
97,Avanti House Secondary School,London,51.61725,-0.33237,London Borough of Harrow,HA7 3NA,HA7,Comprehensive,58.6,304,,,32.6,,Boys Girls,83.6,63.6,2,8,1279369,770000,2895000
